Registro ANS,Razão Social,Nome Fantasia,CNPJ,Logradouro,Complemento,Bairro,CEP,Município,Estado,Telefone 1
406635,ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA,APAS/ITAPETININGA,71.565.659/0001-33,"Rua Doutor Coutinho, 535",,Centro,18200-358,Itapetininga,São Paulo,(15) 3318-0708
408034,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE JAÚ,APAS-JAU,66.491.036/0001-23,"Rua Dr Joao Leite, 652",,Centro,17201-090,Jaú,São Paulo,
410608,ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS),APAS - PRESIDENTE PRUDENTE,00.200.720/0001-09,"Rua Pioneiro Jose Lorencete, 420",,Jardim Bongiovani,19050-350,Presidente Prudente,São Paulo,(18) 3222-8246
411248,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU,APAS/PV,00.648.506/0001-01,"Rua Duque de Caxias, 343",,Centro,19400-000,Presidente Venceslau,São Paulo,(18) 3271-3230
408794,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS),APAS ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE RIBEIRÃO PRETO,72.918.287/0001-44,"Rua Altino Arantes, 1315",,Jardim Sumare,14025-030,Ribeirão Preto,São Paulo,(16) 3505-5000
408263,ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA,APAS - ASSOCIAÇÃO POLICIAL DE ASSISTÊCIA À SAÚDE SJBVISTA,71.753.297/0001-04,"Avenida Presidente Joao Belchior Marques Goulart, 401",,Parque das Nacoes,13870-579,São João da Boa Vista,São Paulo,(19) 3633-1494
420786,ASSOCIAÇÃO SANTA CASA CLÍNICAS DE BIRIGUI,SANTA CASA CLÍNICAS,24.807.514/0001-11,"Rua Maestro Antonio Passarelli, 208",,Centro,16200-004,Birigui,São Paulo,(18) 3649-6620
418803,ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA,SANTA CASA SAÚDE DE ARAÇATUBA,16.665.579/0001-41,"Rua Conselheiro Oscar Rodrigues Alves, 1092",,Vila Mendonca,16015-030,Araçatuba,São Paulo,(18) 3622-8949
419249,ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS,SANTA CASA SAÚDE,18.321.477/0001-34,"Avenida Doutor Joao Guilhermino, 465",,Centro,12210-130,São José dos Campos,São Paulo,(12) 3876-9623
418021,ASSOCIAÇÃO SANTA SAÚDE,PLANO SANTA SAÚDE,13.001.218/0001-02,"Rua Antonio Bento, 162",Terreo Andar 2,Vila Mathias,11075-260,Santos,São Paulo,(13) 3211-0600
419141,ASSOCIAÇÃO SÃO FRANCISCO VIDA,SÃO FRANCISCO VIDA,14.946.109/0001-20,"Rua General Carneiro, 471",,Centro,12308-061,Jacareí,São Paulo,(12) 3955-9595
421006,ASSOCIAÇÃO SÃO LUIZ SAÚDE,SÃO LUIZ SAÚDE,27.067.508/0001-63,"Rua Coronel Andre Ulson Junior, 248",,Centro,13600-690,Araras,São Paulo,(19) 3543-5400
330892,ASSOCIAÇÃO SAÚDE CONCEIÇÃO,SAÚDE CONCEIÇÃO,02.903.477/0001-02,"Rua Vidal Ramos, 299",Sala 01,Centro,88701-140,Tubarão,Santa Catarina,(48) 3302-7200
418218,ASSOCIAÇÃO SAÚDE RURAL ALEGRETE,SAÚDE RURAL,11.336.728/0001-05,"Rua General Vitorino, 156",,Centro,97542-310,Alegrete,Rio Grande do Sul,(55) 3421-2802
418919,ASSOCIAÇÃO SAÚDE SÃO JOSÉ,SAÚDE SÃO JOSÉ,11.867.361/0001-56,"Rua Marechal Deodoro, 382",,Centro,88801-110,Criciúma,Santa Catarina,(48) 3433-3338
417220,ASSOCIAÇÃO SERVIÇOS ODONTOLÓGICOS DA INDÚSTRIA DE MINAS GERAIS - ODONTOINDUSTRIA,ODONTOINDUSTRIA,10.796.140/0001-71,"Rua Alvares Maciel, 59",Andar 11,Santa Efigenia,30150-250,Belo Horizonte,Minas Gerais,(31) 3263-4600
333867,ASSOCIAÇAO UNISAUDE MARAU,UNISAÚDE,89.761.670/0001-34,"Avenida Julio Borella, 1240",Conj 406 Edif Centro Prof.avenida,Centro,99150-000,Marau,Rio Grande do Sul,(54) 3342-1411
420123,ASSOCIAÇÃO UNIVIDA SANTA RITA DO PASSA QUATRO,ASSOCIAÇÃO UNIVIDA,23.557.177/0001-99,"Rua Ignacio Ribeiro, 355",,Centro,13670-000,Santa Rita do Passa Quatro,São Paulo,(19) 3582-3252
412635,ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL,AVAMP,00.307.714/0001-47,"Avenida Marechal Deodoro da Fonseca, 385",,Jarim Santa Clara,12080-000,Taubaté,São Paulo,
420794,ASSOREL BRASIL ADMINISTRADORA DE BENEFICIOS LTDA - EPP,ASSOREL BRASIL,23.779.545/0001-43,"Avenida Historiador Rubens de Mendonca, 1856",Andar 14 Sala 1404,Bosque da Saude,78050-000,Cuiabá,Mato Grosso,(65) 3027-2470
336874,ATEMDE ODONTO SAÚDE CLUBE DE BENEFÍCIOS,ATEMDE ODONTO,15.245.079/0001-98,"Rua Rui Barbosa, 120",Edif Real Sala 202,Centro,43700-000,Simões Filho,Bahia,(71) 3483-2731
424528,ATIMED ASSISTENCIA MEDICA LTDA,ATICARE SAUDE,59.641.573/0001-47,"Rua Clovis Soares, 200",Conj 212 Bloco Japao,Alvinopolis,12942-560,Atibaia,São Paulo,(11) 3400-7368
422151,ATITUDE SAÚDE ASSISTÊNCIA MEDICA LTDA,ATITUDE SAÚDE,34.732.056/0001-52,"Avenida Tancredo Neves, 001283",Edif Empresarial Omega Sala 0101,Caminho das Arvores,41820-021,Salvador,Bahia,(71) 3032-3900
320510,ATÍVIA SERVIÇOS DE SAÚDE S/A,,69.289.171/0001-89,"Rua Vilaca, 772",,Centro,12210-000,São José dos Campos,São Paulo,(12) 3951-6782
423629,AURORA SAÚDE LTDA,AURORA SAÚDE,49.955.478/0001-64,"Rua Ministro Orozimbo Nonato, 442",Sala 903 Sala 904 Sala 905 Sala 906,Vila da Serra,34006-053,Nova Lima,Minas Gerais,(31) 3274-8743
327417,AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA,AUSTACLINICAS,59.847.780/0001-52,"Avenida Murchid Homsi, 1275",,Mancor Daud,15070-650,São José do Rio Preto,São Paulo,(17) 3203-1407
423734,AVANT ADMINISTRADORA DE BENEFICIOS LTDA,AVANT,50.507.787/0001-50,"Rua Da Quitanda, 00060",Sal 701,Centro,20011-030,Rio de Janeiro,Rio de Janeiro,(21) 99772-0199
424005,AVANTI ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA EPP,AVANTI VIDA E SAÚDE,51.124.739/0001-46,"Rua Doutor Celestino, 122",Sala 616,Centro,24020-091,Niterói,Rio de Janeiro,(21) 98104-6162
418013,BACCS ADMINISTRADORA DE BENEFÍCIOS LTDA,BACCS,12.903.235/0001-72,"Avenida Dom Severino, 2074",Andar: 1; Sala: 104; Edif: Jose Carvalho;,Fatima,64049-375,Teresina,Piauí,(86) 3221-1300
422991,BAUEN LIFE LTDA.,BAUEN LIFE,41.215.349/0001-28,"Rua Sao Paulo, 41",Sala 1904 B,Vila Belmiro,11075-330,Santos,São Paulo,(13) 99138-5700
419257,BCI ADMINISTRADORA DE BENEFÍCIOS LTDA.,BCI ADMINISTRADORA DE BENEFÍCIOS,19.240.452/0001-79,"Alameda Dos Guaramomis, 1176",Terreoparte,Planalto Paulista,04076-012,São Paulo,São Paulo,(11) 5080-0445
419125,BEDOIS SERVIÇOS DE ADMINISTRAÇÃO DE BENEFÍCIOS LTDA.,BEDOIS SERVIÇOS DE ADMINISTRAÇÃO DE BENEFÍCIOS LTDA.,07.611.953/0001-35,"Rua Do Carmo, 00008",Pav 4,Centro,20011-020,Rio de Janeiro,Rio de Janeiro,(21) 2501-3307
421332,BEM ADMINISTRADORAS LTDA,,29.138.326/0001-61,"Rua Da Quitanda, 00050",Sal 2201 Sal 2202 Sal 2203,Centro,20011-030,Rio de Janeiro,Rio de Janeiro,(21) 2224-5788
420697,BEM ESTAR ADMINISTRADORA DE BENEFÍCIOS LTDA,,25.313.773/0001-59,"Rua Felipe Schmidt, 679",,Centro,88010-001,Florianópolis,Santa Catarina,(48) 3207-4447
417874,BEM MAIS ODONTO OPERADORA ODONTOLÓGICA LTDA.,BEM MAIS ODONTO OPERADORA ODONTOLÓGICA LTDA.,08.192.597/0001-25,"Rua Abel Tavares, 2591",,Jardim Belem,03810-110,São Paulo,São Paulo,(11) 3361-7693
423181,BEMSTAR ASSISTENCIA MEDICA LTDA,BEMSTAR,45.050.963/0001-38,"Rua Monsenhor Aderbal Miranda, 875",Sala 03,Brasilia,44088-180,Feira de Santana,Bahia,(71) 4104-1808
318299,BENEFICENCIA CAMILIANA DO SUL,PLANO DE SAÚDE SÃO CAMILO,83.506.030/0001-00,"Avenida Pompeia, 888",,Vila Pompeia,05022-000,São Paulo,São Paulo,(49) 3441-4900
421189,BENEFICENCIA SOCIAL BOM SAMARITANO,HOSPITAL BOM SAMARITANO,22.709.109/0001-35,"Rua Ranulfo Alvares, 1620",,Vila Isa,35044-220,Governador Valadares,Minas Gerais,(31) 2101-6100
419869,BENEFIT ADMINISTRADORA DE BENEFÍCIOS LTDA.,,12.380.335/0001-61,"Avenida Eng Luiz Carlos Berrini, 105",Andar 10 Sala 102 B Bloco Torre 4,Cidade Moncoes,04571-900,São Paulo,São Paulo,(11) 3105-9973
423891,BENEFIT BENEFICIOS LTDA,******,50.436.148/0001-41,"Rua A Projetada, 11",,Fernandes Pinheiro,25870-000,Comendador Levy Gasparian,Rio de Janeiro,(24) 2255-4175
423467,BENET ADMINISTRAÇÃO DE BENEFÍCIOS LTDA,BENET ADMINISTRAÇÃO DE BENEFÍCIOS,46.092.428/0001-02,"Avenida Cristovao Colombo, 2240",Sala 404,Floresta,90560-001,Porto Alegre,Rio Grande do Sul,(51) 98119-2900
421324,BENEVITAE ADMINISTRADORA DE BENEFÍCIOS LTDA,BENEVITAE,29.179.109/0001-10,"Avenida Calama, 5175",Sala 205,Flodoaldo Pontes Pinto,76820-595,Porto Velho,Rondônia,(69) 3216-0300
417718,BENEVIX ADMINISTRADORA DE BENEFÍCIOS LTDA,BENEVIX ADMINISTRADORA,11.073.058/0001-81,"Avenida Doutor Olivio Lira, 353",Andar 18 Sala 1801,Praia da Costa,29101-260,Vila Velha,Espírito Santo,(11) 4303-9453
366561,BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA.,BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR  LTDA,02.849.393/0001-38,"Rua Quinze de Novembro, 4488",,Redentora - Vila,15015-110,São José do Rio Preto,São Paulo,(17) 3214-6499
420042,BEST LIFE ASSESSORIA NA GESTÃO E ADMINISTRADORA DE BENEFÍCIOS LTDA,BEST LIFE BENEFÍCIOS,13.852.392/0001-69,"Rua Prof J. H. Meirelles Teixeira, 975",Conj 41 - Parte,Vila Suzana,05630-130,São Paulo,São Paulo,(11) 3743-2350
421766,BEST SENIOR OPERADORA DE SAÚDE LTDA,BEST SAÚDE,32.421.708/0001-02,"Avenida Saturnino de Brito, 1350",Pavmto1,Praia do Canto,29055-240,Vitória,Espírito Santo,(27) 2180-0369
402966,BIO SAÚDE SERVIÇOS MÉDICOS LTDA,HAPVIDA NOTREDAME SAO PAULO,03.123.146/0001-12,"Avenida Paulista, 777",Conj 62,Bela Vista,01311-914,São Paulo,São Paulo,(85) 3255-9010
419079,BIORAL SISTEMA ODONTOLÓGICO LTDA.,BIORAL PLANOS DE SAÚDE LTDA,14.674.151/0001-30,"Rua Matias Aires, 402",Andar 2,Consolacao,01309-020,São Paulo,São Paulo,(11) 4522-1777
415111,BIOVIDA SAÚDE LTDA.,BIOVIDA SAÚDE,04.299.138/0001-94,"Praca Da Republica, 124",Bloco 128 Andar 3,Republica,01045-000,São Paulo,São Paulo,(11) 5363-6299
422401,BIT LIFE BENEFÍCIOS LTDA,BIT LIFE,34.673.588/0001-66,"Rua Alvaro de Carvalho, 22",Apt 701 A,Centro,01050-070,São Paulo,São Paulo,(11) 3733-1172
424552,BKR SAÚDE ADMINISTRADORA DE BENEFÍCIOS LTDA,BKR SAÚDE ADMINISTRADORA DE BENEFÍCIOS,60.233.601/0001-76,"Praca Presidente Getúlio Vargas, 35",Sala 119 e 120 Edif Jusmar,Centro,29010-350,Vitória,Espírito Santo,(27) 99996-6928
423998,BLUE UNION SAUDE ADMINISTRADORA DE BENEFICIOS LTDA,BLUE UNION SAUDE ADMINISTRADORA DE BENEFICIOS,54.025.228/0001-65,"Rua Santa Joaquina de Vedruna, 609",,Zona 05,87015-150,Maringá,Paraná,(44) 3028-5767
424170,BLUZZ SAÚDE S/A,,54.557.861/0001-02,"Rua Tenente Mario Francisco Brito, 420",,Enseada do Sua,29050-555,Vitória,Espírito Santo,(27) 98122-9602
424218,BOA SAUDE ADMNISTRADORA DE BENEFICIOS DE SAUDE LTDA,BOA SAUDE,56.980.711/0001-24,"Rua Sao Luiz, 100",Sala 04,Jardim Europa,15014-470,São José do Rio Preto,São Paulo,(17) 3353-4111
421715,BRADESCO SAÚDE - OPERADORA DE PLANOS  S/A,,15.011.651/0001-54,"Avenida Alphaville 779, 779",17 Andar Sala 1701 Parte,Dezoito do Forte Empresarial/Alphaville.,06472-900,Barueri,São Paulo,(21) 2503-1111
5711,BRADESCO SAÚDE S.A.,BRADESCO SAUDE S.A.,,,,,,,,
421561,BRASIL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA,BRASIL ODONTO PLANO DE SAUDE,31.596.055/0001-30,"Quadra 603 Sul Avenida Lo 13, 13",Lote 20 Andar Terreo,Plano Diretor Sul,77016-338,Palmas,Tocantins,(71) 3243-4441
419419,BRASILDENTAL OPERADORA DE PLANOS ODONTOLÓGICOS S.A.,,19.962.272/0001-09,"Alameda Araguaia, 2104",Andar 19 Conj 194 A,Alphaville Industrial,06455-000,Barueri,São Paulo,(11) 4878-8200
419613,BRAZIL DENTAL OPERADORA DE PLANOS ODONTOLÓGICOS LTDA,BRAZIL DENTAL,14.838.567/0001-46,"Rua Da Consolacao, 1681",Andar 3 Conj 31,Consolacao,01301-100,São Paulo,São Paulo,(11) 3149-6558
417238,BRF S/A,BRF - BRASIL FOODS S/A,01.838.723/0001-27,"Rua Jorge Tzachel, 475",,Fazenda,88301-600,Itajaí,Santa Catarina,(47) 3249-4100
424536,BRS ADMINISTRADORA DE SAUDE LTDA,BRS SAUDE,58.246.775/0001-21,"Avenida Sao Sebastiao, 3125",,Quilombo,78045-000,Cuiabá,Mato Grosso,(54) 99707-3054
423530,BWG ADMINISTRADORA DE BENEFICIOS LTDA.,,46.293.680/0001-80,"Rua Dr Geraldo Campos Moreira, 240",Conj 142 A - 14 Andar,Cidade Moncoes,04571-904,São Paulo,São Paulo,(11) 5670-2076
415774,CABERJ INTEGRAL SAÚDE S.A,,07.844.436/0001-06,"Avenida Ernani do Amaral Peixoto, 467",Sala 1501 Parte,Centro,24020-073,Niterói,Rio de Janeiro,(21) 3233-8865
424021,CACSS ADMINISTRADORA DE BENEFICIOS LTDA,,50.805.425/0001-46,"Rua Da Assembleia, 00010",Sal 3811,Centro,20011-000,Rio de Janeiro,Rio de Janeiro,(21) 3553-0509
416657,CAIXA ASSISTENCIAL DOS AUDITORES FISCAIS DA RECEITA FEDERAL DO BRASIL,CAARF,07.027.515/0001-24,"Rua Espirito Santo, 616",12 Andar,Centro,30160-030,Belo Horizonte,Minas Gerais,(31) 3274-2779
327557,CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC,CASACARESC,83.937.631/0001-69,"Rodovia Admar Gonzaga, 1347",,Itacorubi,88034-901,Florianópolis,Santa Catarina,(48) 3036-2220
347825,CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO,CAURJ,01.052.203/0001-94,"Avenida Venceslau Bras, 71",,Praia Vermelha,22290-140,Rio de Janeiro,Rio de Janeiro,
314251,CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE,CAURN,02.172.353/0001-02,"Avenida Senador Salgado Filho, 3000",Campus da Ufrn Centro Convivencia Sala 20,Lagoa Nova,59078-900,Natal,Rio Grande do Norte,(84) 3215-3625
352331,CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO,CABESP,62.231.527/0001-84,"Rua Boa Vista, 293",,Centro,01014-915,São Paulo,São Paulo,
414026,CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU,CABEFI,78.304.672/0001-88,"Rodovia Mello Peixoto-Br 369, S/N",Km 88,Parque Industrial,86300-000,Cornélio Procópio,Paraná,
324361,CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ,,42.182.170/0001-84,"Rua Do Ouvidor, 00091",Pav 2 Pav 3 Pav 4 Pav 5 Pav 6 Pav 7 Pav 8 Pav 9 Pav 10,Centro,20040-031,Rio de Janeiro,Rio de Janeiro,(21) 2505-6414
316873,CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE,CASU/UFMG,73.395.469/0001-40,"Avenida Antonio Carlos, 6627",,Pampulha,31270-010,Belo Horizonte,Minas Gerais,
417661,CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO,FISCO SAÚDE-PE,11.996.146/0001-55,,,,,,,
412295,CAIXA DE ASSISTÊNCIA À SAUDE DOS EMPREGADOS DA CODEVASF - CASEC,CASEC,03.702.977/0001-49,,,,,,,
421341,CAIXA DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO MATO GROSSO DO SUL,UNISAÚDEMS,04.574.626/0001-62,,,,,,,
419851,"CAIXA DE ASSISTÊNCIA À SAÚDE DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICAS E DO MATERIAL ELÉTRICO DE BRUSQUE",SINTIMMMEB SAÚDE,21.205.801/0001-63,,,,,,,
418820,CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO,CAMARJ,27.085.968/0001-14,,,,,,,
413518,CAIXA DE ASSISTÊNCIA DO SINDFISCO - CASSIND,CASSIND,04.197.511/0001-04,,,,,,,
416401,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA EMPRESA BRASILEIRA DE PESQUISA  AGROPECUÁRIA,CASEMBRAPA,08.097.092/0001-81,,,,,,,
363855,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO,CAESAN,37.382.009/0001-14,,,,,,,
307319,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL,CABERGS,02.315.431/0001-72,,,,,,,
315583,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB,CASSEB,15.215.452/0001-68,,,,,,,
335789,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE,CASSE,13.086.566/0001-20,,,,,,,
344184,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SETOR PÚBLICO DO ESTADO DE GOIÁS - CAEME,CAEME,33.601.568/0001-17,,,,,,,
343331,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SISTEMA FINANCEIRO BANESTES,BANESCAIXA,28.502.128/0001-72,,,,,,,
358754,CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DA AMAZÔNIA - CASF,,04.204.285/0001-33,,,,,,,
346659,CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL,CASSI,33.719.485/0001-27,,,,,,,
385697,CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL,CAMED SAÚDE,05.814.777/0001-03,,,,,,,
302627,CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO,CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO,35.617.257/0001-71,,,,,,,
413534,CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL,CASSEMS,04.311.093/0001-26,,,,,,,
359122,CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS,CAFAZ,63.367.700/0001-39,,,,,,,
417548,CAIXA DE ASSISTÊNCIA OSWALDO CRUZ,FIOSAÚDE,03.033.006/0001-53,,,,,,,
320820,CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE,SSI SAÚDE,00.668.790/0001-88,,,,,,,
324477,CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP,CAPESESP,30.036.685/0001-97,,,,,,,
312924,CAIXA ECONÔMICA FEDERAL,CAIXA,00.360.305/0001-04,,,,,,,
418072,CAIXA SEGURADORA ESPECIALIZADA EM SAÚDE S/A,CAIXA SEGURADORA SAÚDE,13.223.975/0001-20,,,,,,,
418072,CAIXA SEGURADORA ESPECIALIZADA EM SAÚDE S/A,CAIXA SEGURADORA SAÚDE,13.223.975/0001-20,,,,,,,
418072,CAIXA SEGURADORA ESPECIALIZADA EM SAÚDE S/A,CAIXA SEGURADORA SAÚDE,13.223.975/0001-20,,,,,,,
418072,CAIXA SEGURADORA ESPECIALIZADA EM SAÚDE S/A,CAIXA SEGURADORA SAÚDE,13.223.975/0001-20,,,,,,,
319872,CAMIM OPERADORA DE PLANO DE SAÚDE LTDA,CAMIM,35.908.607/0001-59,,,,,,,
417785,CAMPEÃ ADMINISTRADORA DE BENEFÍCIOS LTDA.,,04.566.215/0001-25,,,,,,,
419265,CAPITAL ADMINISTRADORA DE BENEFÍCIOS LTDA.,CAPITAL ADMINISTRADORA DE BENEFÍCIOS,17.634.722/0001-09,,,,,,,
379956,CARE PLUS MEDICINA ASSISTENCIAL LTDA.,CARE PLUS MEDICINA ASSISTENCIAL LTDA.,02.725.347/0001-27,,,,,,,
389358,CARE PLUS ODONTOLOGIA ASSISTENCIAL LTDA.,INPAO DENTAL,00.856.424/0001-52,,,,,,,
422304,CARING SAÚDE ASSISTÊNCIA MÉDICA LTDA.,,36.263.502/0001-52,,,,,,,
327328,CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA  LTDA.,CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA .,05.455.431/0001-66,,,,,,,
417165,CASE - CENTRAL DE ADMINISTRAÇÃO DE PLANO DE SAÚDE LTDA,CASE SAÚDE,09.114.713/0001-50,,,,,,,
423637,CASUFES SAÚDE ADMINISTRADORA DE BENEFÍCIOS,CASUFES SAÚDE,49.884.840/0001-53,,,,,,,
415952,CDA - ASSISTÊNCIA ODONTOLÓGICA LTDA - EPP,CDA ASSISTENCIA ODONTOLOGICA LTDA-EPP,64.170.517/0001-01,,,,,,,
311472,CEAM BRASIL - PLANOS DE SAÚDE LTDA,CEAM BRASIL,18.987.107/0001-30,,,,,,,
418749,CEDPLAN SAÚDE LTDA EPP,,06.814.351/0001-12,,,,,,,
339270,CELULOSE NIPO-BRASILEIRA S/A - CENIBRA,CENIBRA,42.278.796/0001-99,,,,,,,
417505,CEMIG SAÚDE,CEMIG SAÚDE,12.055.813/0001-68,,,,,,,
422436,CENIBRA LOGÍSTICA LTDA,CENIBRA LOG,04.940.191/0001-22,,,,,,,
417092,CENTRAL OPERADORA DE PLANOS DE SAÚDE NORTE-NORDESTE LTDA,,10.540.020/0001-09,,,,,,,
386596,CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO,UNIMED CERRADO,00.366.982/0001-30,,,,,,,
392804,CENTRO CLÍNICO GAÚCHO LTDA,HAPVIDA RIO GRANDE DO SUL,00.773.639/0001-00,,,,,,,
415910,CENTRO DE ENDOCRINOLOGIA DE JUNDIAÍ S/S LTDA,IDEAL VIDA E SAUDE,02.569.472/0001-95,,,,,,,
350699,CENTRO HOSPITALAR ATIBAIA LTDA.,CLIMED,00.950.062/0001-64,,,,,,,
314757,CENTRO ODONTOLOGICO INTEGRADO LTDA,INTERDENTAL,37.161.015/0001-41,,,,,,,
303623,CENTRO TRASMONTANO DE SAO PAULO,CENTRO TRASMONTANO DE SAO PAULO,62.638.374/0001-94,,,,,,,
401871,CEORP - CENTRO ODONTOLOGICO LTDA,CEORP,64.928.609/0001-08,,,,,,,
324892,CETESB - COMPANHIA AMBIENTAL DO ESTADO DE SÃO PAULO,CETESB,43.776.491/0001-70,,,,,,,
310247,CIRCULO OPERARIO CAXIENSE,CIRCULO OPERARIO CAXIENSE,88.645.403/0001-39,,,,,,,
423963,CLARO S.A,CLARO,40.432.544/0001-47,,,,,,,
419435,CLASSE ADMINISTRADORA DE BENEFÍCIOS LTDA - ME,CLASSE ADMINISTRADORA,20.088.388/0001-31,,,,,,,
423327,CLICSAUDE ADMINISTRADORA DE BENEFICIOS LTDA,CLICSAUDE ADMINISTRADORA DE BENEFICIOS,43.383.373/0001-00,,,,,,,
410071,CLINICA ODONTOLOGICA ODONTOPLAN LTDA,ODONTOPLAN,03.447.952/0001-46,,,,,,,
415944,CLÍNICA SÃO GABRIEL S/S LTDA,,51.262.335/0001-19,,,,,,,
340782,CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA,HAPVIDA CLINIPAM PARANA,76.882.612/0001-17,,,,,,,
417891,"CLUBE DE BENEFICIOS PARA COOP., ASS., CONS., SIND. E SEGUROS - CBCACSS",,09.585.273/0001-10,,,,,,,
422461,CLUBE SILVER ADMINISTRADORA DE PLANOS DE SAUDE LTDA,AMESAÚDE,38.046.343/0001-60,,,,,,,
419796,COMPANHIA DAS DOCAS DO ESTADO DA BAHIA - CODEBA,CODEBA,14.372.148/0001-61,,,,,,,
330051,COMPANHIA DE ENGENHARIA DE TRAFEGO - CET,,47.902.648/0001-17,,,,,,,
416509,COMPANHIA DOCAS DO ESPIRITO SANTO - CODESA,CODESA,27.316.538/0001-66,,,,,,,
392405,COMPANHIA ESPIRITO SANTENSE DE SANEAMENTO,CESAN,28.151.363/0001-47,,,,,,,
334189,COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO - C0NAB,26.461.699/0001-80,,,,,,,
420247,COMPAR ADMINISTRADORA DE BENEFICIOS LTDA - ME,COMPAR ADMINISTRADORA DE BENEFICIOS,23.920.704/0001-88,,,,,,,
390259,COMSEDER - COOPERATIVA DE ASSISTÊNCIA MÉDICA DOS SERVIDORES DA SUPLAN E DO DER LTDA,COMSEDER,70.094.578/0001-30,,,,,,,
424579,CONECTA ADMINISTRADORA DE BENEFICIOS LTDA,CONECTA BEM,60.662.550/0001-06,,,,,,,
423220,CONECTAPLAN ADMINISTRADORA DE BENEFÍCIOS LTDA,CONECTAPLAN BENEFÍCIOS,45.400.278/0001-94,,,,,,,
321931,CONFERÊNCIA SÃO JOSÉ DO AVAÍ,HOSPITAL SÃO JOSÉ DO AVAÍ,29.640.612/0001-20,,,,,,,
